# ra            dec          z          
  171.3154297   -2.0761209   0.0628677  
  171.2636414   -2.0910463   0.062973   
  171.4006805   -2.0668116   0.0629992  
  208.6770477   65.2443085   0.0357842  
  208.6645203   65.2758026   0.0356484  
  209.0104218   65.2963791   0.0361473  
  211.2034607   4.9810596    0.0464889  
  211.1923981   4.9701266    0.0469491  
  211.2818909   4.9680991    0.0464693  
  251.4674988   44.4374847   0.070145   
  251.5496826   44.4277916   0.0698581  
  251.5214233   44.3700752   0.0702075  
  133.5354767   0.4985674    0.0282144  
  133.4945221   0.3500426    0.0281563  
  133.4734802   0.3042332    0.0283185  
  207.8236694   0.3849307    0.0299239  
  207.7752991   0.4622775    0.0301176  
  207.8159027   0.3911883    0.030128   
  218.9557953   62.4211273   0.0475306  
  219.0340576   62.4803391   0.0472323  
  218.8075409   62.5244713   0.0470337  
  197.6862946   0.0320904    0.0410011  
  197.681366    -0.107735    0.0412568  
  197.7229614   0.1007953    0.0410479  
  320.8764343   -7.7459722   0.027672   
  320.9192505   -7.8179865   0.0280483  
  320.8862915   -7.8086224   0.0279848  
  22.224062     14.7207088   0.0366698  
  22.1751518    14.6092567   0.0363883  
  22.2358398    14.7032833   0.0370698  
  127.4596481   48.7810135   0.0235768  
  127.3303299   48.849556    0.023527   
  127.388382    48.7945137   0.0234631  
  200.9196014   1.3618226    0.0567743  
  200.8994751   1.3705938    0.0570542  
  200.8718414   1.3775129    0.056659   
  232.2092896   0.7772493    0.0398193  
  232.2976074   0.7242733    0.0397862  
  232.1445618   0.7463136    0.0398718  
  225.2734528   0.5304742    0.0355229  
  225.2845001   0.514225     0.0360068  
  225.2091827   0.4329967    0.0357571  
  259.7788086   65.732254    0.0356667  
  259.8740234   65.6999893   0.0358845  
  260.0363464   65.764595    0.0357478  
  192.9834595   -2.0775597   0.0228804  
  193.0932922   -2.2258098   0.0230199  
  192.9980316   -2.0409594   0.0228967  
  155.2322083   1.2360662    0.0709062  
  155.2389679   1.2375543    0.0713867  
  155.2355499   1.2603915    0.0706042  
  190.1459351   2.4681439    0.0457473  
  190.0858765   2.4363573    0.0457012  
  190.1047668   2.4338298    0.0460626  
  211.2621155   -0.2514086   0.0328294  
  211.256485    -0.2542771   0.0323905  
  211.2888794   -0.2943406   0.0324815  
  189.9515686   -2.7960889   0.0479376  
  189.8643799   -2.8271482   0.0479204  
  189.896637    -2.7462733   0.0477104  
  231.9776306   54.2697945   0.0399267  
  231.8754272   54.3660851   0.0400947  
  232.0192566   54.2772598   0.0400265  
  134.7739563   53.7716179   0.0077586  
  134.2863312   53.8163033   0.0077648  
  134.0773926   54.138443    0.0079231  
  145.6000824   63.1652985   0.0312667  
  145.8541412   63.0247307   0.0315877  
  145.749176    63.1084557   0.0312104  
  119.1681976   44.869812    0.0501485  
  119.1821671   44.8567162   0.04992    
  119.2419357   44.8105316   0.0503741  
  134.2417145   52.0659714   0.0125876  
  134.6554871   51.8784943   0.0126886  
  134.6230774   51.9671631   0.0122463  
  136.1461487   52.1204109   0.0656272  
  136.0719147   52.0679665   0.0652353  
  136.0525055   52.1367264   0.0658598  
  143.989624    54.9933624   0.0585204  
  143.9198303   54.9073296   0.0590397  
  143.8961182   55.0529633   0.0583675  
  122.384285    39.8879318   0.0636345  
  122.3806229   39.8018608   0.063881   
  122.4302139   39.8133621   0.0640983  
  162.2811584   4.9406943    0.0552548  
  162.2887115   4.9564762    0.0552338  
  162.197525    4.9618044    0.0557859  
  348.1217957   13.9422617   0.0341109  
  348.1021729   13.9512777   0.0341153  
  348.1083069   13.9139442   0.0338908  
  143.0188446   51.5509529   0.0335626  
  142.9998322   51.3816872   0.0333021  
  142.7944031   51.5189171   0.0335604  
  138.2592926   49.6394768   0.0132934  
  138.4724579   49.4253845   0.0134498  
  138.5723114   49.5015755   0.0133224  
  148.123642    2.1544497    0.016646   
  148.1043243   2.1809692    0.0168741  
  148.1118317   2.278928     0.0167502  
  310.0940552   -6.3589239   0.0359109  
  310.2460327   -6.3570547   0.0357075  
  310.0239868   -6.379972    0.0359279  
  188.0663605   2.9995937    0.0441571  
  188.1585388   3.0180533    0.0439185  
  188.0786896   3.0027115    0.0436909  
  25.8822498    13.5137596   0.0538756  
  25.9109497    13.5276632   0.0542076  
  25.9432316    13.5249748   0.0538471  
  136.8112488   2.4426973    0.0514083  
  136.8289032   2.5497751    0.0516431  
  136.8121338   2.4360416    0.051139   
  206.8139954   62.4696083   0.0439556  
  206.7724609   62.4234695   0.0441003  
  206.8101501   62.4451866   0.0438821  
  323.2228699   -7.1967325   0.060536   
  323.2260742   -7.1776075   0.0610458  
  323.1615906   -7.1903634   0.0602311  
  186.8650513   3.3021107    0.0487801  
  186.8801117   3.2597189    0.0487449  
  186.8201141   3.3035984    0.0485896  
  176.1377563   61.5335503   0.047992   
  176.0404358   61.5715446   0.0477858  
  176.1062317   61.5249748   0.0485171  
  174.3623505   1.5351485    0.0457139  
  174.3476257   1.5616505    0.0460802  
  174.3793488   1.4901177    0.0461126  
  157.9731293   62.4011154   0.0522212  
  158.0492554   62.3629189   0.0527172  
  158.068573    62.3594513   0.0523443  
  126.8616257   41.4945831   0.0360461  
  126.7548599   41.5340538   0.0359545  
  126.8216171   41.4789772   0.0359713  
  351.2510681   -0.0022607   0.0335781  
  351.2658997   0.0186833    0.0339239  
  351.2576904   -4.239E-4    0.0339721  
  208.0322113   5.4321742    0.0789228  
  208.041748    5.3628831    0.078712   
  208.0174408   5.5046277    0.0787557  
  233.2897034   -1.866016    0.0282097  
  233.4204865   -1.8284371   0.028622   
  233.4280396   -1.941348    0.028569   
  229.5192566   3.4897614    0.0676394  
  229.5090027   3.5336967    0.0681696  
  229.5099182   3.5513978    0.0672338  
  202.903717    61.6282845   0.0440933  
  202.967804    61.6792564   0.0438619  
  202.6517639   61.5684509   0.0438795  
  215.1903839   58.6989479   0.0461097  
  215.1563873   58.7232399   0.0463441  
  215.1250916   58.6683426   0.0462663  
  132.8985291   47.5576706   0.0290573  
  132.9458008   47.5189934   0.0288066  
  132.8315125   47.5423546   0.0292092  
  4.9236789     0.3756782    0.0412699  
  4.8702292     0.3352386    0.0413334  
  4.9333768     0.3772269    0.0411024  
  210.0547485   3.424397     0.0347652  
  210.1838226   3.3392608    0.0349457  
  210.052002    3.4344544    0.0344627  
  183.6329651   4.4350743    0.0765375  
  183.6796265   4.417655     0.0767198  
  183.6894989   4.4175644    0.0768031  
  120.0046692   28.7417507   0.0407727  
  119.9100952   28.7460899   0.0412586  
  119.9338303   28.7273064   0.0408299  
  168.3417664   61.4468155   0.0676695  
  168.3347626   61.4214935   0.0673354  
  168.1984253   61.3902588   0.0672461  
  172.7638397   62.3046722   0.0327737  
  172.8016052   62.320652    0.0324005  
  172.8147125   62.2709846   0.032569   
  184.5414734   62.8019676   0.0496848  
  184.3021698   62.8256836   0.0501247  
  184.3645172   62.8387566   0.049727   
  181.213028    63.1314964   0.0403837  
  181.3158417   63.1838226   0.0407719  
  181.3570557   63.1484718   0.0401522  
  123.2413559   36.2546349   0.008238   
  123.2436523   36.198307    0.0083038  
  123.6498871   36.43433     0.0082114  
  123.4486465   37.0503731   0.0306034  
  123.2456665   37.1220779   0.0303404  
  123.4127655   37.1042595   0.0303204  
  171.9267273   55.9211655   0.018776   
  172.0204926   55.9419022   0.0188648  
  171.9113922   55.9588013   0.0186453  
  249.5536499   40.1734772   0.0368596  
  249.4851074   40.1767845   0.0366398  
  249.7170258   40.1993294   0.0364618  
  180.2411194   59.3851166   0.0328079  
  180.2927704   59.4613838   0.0333079  
  180.3265686   59.4394379   0.0323798  
  181.5690155   61.1539764   0.0520291  
  181.3980713   61.2023773   0.0519907  
  181.6430969   61.1287575   0.052074   
  166.8654633   53.9879875   0.0604697  
  166.8552094   53.9874954   0.0603842  
  166.9653931   53.9662209   0.0601885  
  208.7450256   46.9445763   0.0278542  
  208.8079224   46.9410286   0.0278525  
  208.8569336   46.8642654   0.0281138  
  354.179657    13.6741428   0.062328   
  354.1315002   13.7396755   0.0620602  
  354.1835938   13.7229567   0.0624551  
  231.2683411   4.8298302    0.0215107  
  231.271347    4.9062967    0.0215675  
  231.2453156   4.7900739    0.0211898  
  347.7527161   13.6315804   0.0227637  
  347.7193909   13.7450972   0.0229905  
  347.7629395   13.6185284   0.0226489  
  139.1047974   42.9916573   0.0087285  
  139.1044617   43.0053711   0.0085444  
  139.0990295   43.1887016   0.0088225  
  162.6966705   6.0985241    0.0420034  
  162.5705261   6.122592     0.0421994  
  162.7345123   6.0225739    0.0419249  
  165.5915375   6.0772448    0.0219731  
  165.4871826   6.2149539    0.0221958  
  165.4694366   6.066855     0.0217584  
  167.1433716   8.7365875    0.0716096  
  167.1611786   8.7842989    0.0714365  
  167.151474    8.7542639    0.0710776  
  156.4285889   45.3478622   0.043826   
  156.4275665   45.34618     0.043883   
  156.43573     45.3892593   0.043653   
  166.1536102   6.39503      0.0321158  
  166.2029724   6.3582106    0.0322782  
  166.2288818   6.4619517    0.0321384  
  170.6893921   7.5204101    0.0415198  
  170.6337891   7.5141335    0.0417745  
  170.681427    7.5587368    0.0413725  
  168.5262604   55.7108727   0.027916   
  168.444519    55.7218323   0.0276168  
  168.2743225   55.8088646   0.0277566  
  199.9028015   -2.9120548   0.0227259  
  199.9594574   -3.0907876   0.0225789  
  199.7984619   -3.0148697   0.0223324  
  199.147934    -2.0913463   0.0188499  
  199.2642212   -2.261318    0.0193464  
  199.298111    -2.201072    0.0189486  
  183.6974487   10.9178753   0.0787102  
  183.6743622   10.959054    0.0783227  
  183.6967773   10.892581    0.0782564  
  227.6498718   54.3873978   0.0383522  
  227.6999817   54.5208969   0.0387001  
  227.62117     54.4571342   0.0386288  
  132.8991852   39.589756    0.0410222  
  132.8575745   39.5949249   0.0410136  
  132.9336548   39.7313843   0.0408647  
  197.9531097   10.6021843   0.0314752  
  198.0423737   10.6086178   0.0316835  
  197.9842224   10.6649189   0.0311004  
  148.0188141   6.2093205    0.0618902  
  147.9524384   6.2033696    0.0615708  
  148.0740051   6.1716003    0.0616287  
  151.2845001   44.513958    0.0263223  
  151.2671661   44.4820518   0.026486   
  151.3113098   44.5382156   0.0264534  
  149.8283844   52.257061    0.0404894  
  149.9599762   52.2288284   0.0401648  
  149.7799835   52.2336502   0.0403866  
  129.2771606   41.4563217   0.0291456  
  129.1775055   41.4723091   0.0291908  
